        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
           26.211630            26.211630             0.004050           246.913580
           26.228310            26.228310             0.016680            59.952038
           26.248310            26.248310             0.020000            50.000000
           26.249650            26.249650             0.001340           746.268657
           26.270200            26.270200             0.020550            48.661800
           26.274190            26.274190             0.003990           250.626566
           26.291930            26.291930             0.017740            56.369786
           26.300650            26.300650             0.008720           114.678899
           26.864640            26.864640             0.008740           114.416476
           26.877300            26.877300             0.012660            78.988942
           26.881870            26.881870             0.004570           218.818381
           26.894740            26.894740             0.012870            77.700078
           26.902720            26.902720             0.007980           125.313283
           26.916070            26.916070             0.013350            74.906367
           26.923720            26.923720             0.007650           130.718954
           26.937140            26.937140             0.013420            74.515648
           26.956170            26.956170             0.019030            52.548607
           27.507480            27.507480             0.006360           157.232704
           27.520670            27.520670             0.013190            75.815011
           27.523550            27.523550             0.002880           347.222222
           27.540700            27.540700             0.017150            58.309038
           27.546200            27.546200             0.005500           181.818182
           27.563280            27.563280             0.017080            58.548009
           27.567460            27.567460             0.004180           239.234450
           27.594610            27.594610             0.027150            36.832413
           27.605910            27.605910             0.011300            88.495575
           28.152850            28.152850             0.001850           540.540541
           28.171060            28.171060             0.018210            54.914882
           28.174550            28.174550             0.003490           286.532951
           28.191650            28.191650             0.017100            58.479532
           28.195370            28.195370             0.003720           268.817204
           28.225050            28.225050             0.029680            33.692722
           28.235680            28.235680             0.010630            94.073377
           28.792170            28.792170             0.008290           120.627262
           28.806350            28.806350             0.014180            70.521862
           28.809380            28.809380             0.003030           330.033003
           28.826440            28.826440             0.017060            58.616647
           28.831590            28.831590             0.005150           194.174757
           28.848740            28.848740             0.017150            58.309038
           28.851730            28.851730             0.002990           334.448161
           28.874960            28.874960             0.023230            43.047783
           28.882860            28.882860             0.007900           126.582278
           29.441030            29.441030             0.007190           139.082058
           29.456630            29.456630             0.015600            64.102564
           29.475400            29.475400             0.018770            53.276505
           29.476980            29.476980             0.001580           632.911392
           29.497570            29.497570             0.020590            48.567266
           29.525730            29.525730             0.028160            35.511364
           29.531640            29.531640             0.005910           169.204738
           30.082030            30.082030             0.005430           184.162063
           30.097310            30.097310             0.015280            65.445026
           30.099120            30.099120             0.001810           552.486188
           30.119380            30.119380             0.020260            49.358342
           30.138450            30.138450             0.019070            52.438385
           30.140630            30.140630             0.002180           458.715596
           30.168660            30.168660             0.028030            35.676061
           30.180220            30.180220             0.011560            86.505190
           30.730030            30.730030             0.009580           104.384134
           30.741620            30.741620             0.011590            86.281277
           30.746590            30.746590             0.004970           201.207243
           30.760510            30.760510             0.013920            71.839080
           30.769160            30.769160             0.008650           115.606936
           30.783210            30.783210             0.014050            71.174377
           30.788540            30.788540             0.005330           187.617261
           30.805280            30.805280             0.016740            59.737157
           30.830520            30.830520             0.025240            39.619651
           31.365790            31.365790             0.011400            87.719298
           31.378790            31.378790             0.013000            76.923077
           31.383690            31.383690             0.004900           204.081633
           31.401030            31.401030             0.017340            57.670127
           31.407490            31.407490             0.006460           154.798762
           31.423120            31.423120             0.015630            63.979527
           31.427520            31.427520             0.004400           227.272727
           31.448790            31.448790             0.021270            47.014575
           31.994200            31.994200             0.003490           286.532951
           32.010530            32.010530             0.016330            61.236987
           32.031510            32.031510             0.020980            47.664442
           32.051410            32.051410             0.019900            50.251256
           32.053950            32.053950             0.002540           393.700787
           32.079690            32.079690             0.025740            38.850039
           32.086480            32.086480             0.006790           147.275405
           32.633440            32.633440             0.005350           186.915888
           32.648790            32.648790             0.015350            65.146580
           32.650680            32.650680             0.001890           529.100529
           32.666950            32.666950             0.016270            61.462815
           32.672120            32.672120             0.005170           193.423598
           32.689620            32.689620             0.017500            57.142857
           32.691630            32.691630             0.002010           497.512438
           32.710030            32.710030             0.018400            54.347826
           32.716300            32.716300             0.006270           159.489633
           33.317940            33.317940             0.020050            49.875312
           33.319530            33.319530             0.001590           628.930818
           33.339850            33.339850             0.020320            49.212598
           33.359810            33.359810             0.019960            50.100200
           33.361060            33.361060             0.001250           800.000000
           33.924880            33.924880             0.009520           105.042017
           33.938290            33.938290             0.013410            74.571216
           33.941850            33.941850             0.003560           280.898876
           33.956410            33.956410             0.014560            68.681319
           33.963840            33.963840             0.007430           134.589502
           33.978860            33.978860             0.015020            66.577896
           33.985020            33.985020             0.006160           162.337662
           34.002410            34.002410             0.017390            57.504313
           34.020370            34.020370             0.017960            55.679287
           34.570350            34.570350             0.008210           121.802680
           34.582860            34.582860             0.012510            79.936051
           34.586840            34.586840             0.003980           251.256281
           34.602290            34.602290             0.015450            64.724919
